고유번호,주류이름,주류특징,주류종류
114,샴페인 N,상쾌하고 거품이 풍부한,샴페인
115,보드카 0,깨끗하고 강렬한 맛의 보드카,보드카
116,위스키 P,스파이시하고 복합적인 맛의 위스키,위스키
117,맥주 오,청량감 있고 상쾌한 라거,맥주
118,와인 R,다채로운 과일 향과 부드러운 맛의 와인,와인
119,럼 S,진한 카라멜과 스파이스 향이 나는,럼
120,진 T,신선한 허브와 꽃 향이 조화로운,진
121,조니 워커 블랙 라벨,스모키한 맛의 위스키,위스키
122,하이네켄,감귤 향이 나는 라이트,맥주
123,앱솔루트 보드카,부드러운 마무리의 프리미엄,보드카
124,샤또 마고,풍부하고 깊은 맛의 와인,와인
125,하쿠츠루 준마이,부드럽고 은은한 맛의 사케,사케
126,모엣 샹동,신선한 과일 향과 거품이 가득한,샴페인
127,벨루가 보드카,고급스러운 맛과 부드러운 마무리의,보드카
128,글렌피딕 12년,부드럽고 달콤한 몰트 위스키,위스키
129,기네스,깊고 진한 맛의 흑맥주,맥주
130,샤또 라피트,복합적이고 깊은 맛의 프랑스 와인,와인
131,바카디,상큼한 과일 향이 나는,럼
132,탱커레이 진,상쾌한 허브와 시트러스 향이 어우러진,진
133,라가불린 16년,스모키한 맛과 깊은 풍미의,위스키
134,스텔라 아르투아,부드럽고 깔끔한 라거,맥주
135,시바스 리갈 18년,풍부하고 복합적인 맛의 블렌디드 위스키,위스키
136,라프라익 10년,강렬한 스모키와 피트 향이 특징인,위스키
137,피노 누아,복합적인 과일 향과 부드러운 질감의,와인
138,말리부,달콤한 코코넛 향이 가득한,럼
139,비피터 진,깨끗하고 상쾌한 맛의 진,진
140,발렌타인 17년,부드럽고 깊은 풍미의 블렌디드,위스키
141,호가든,산뜻한 과일 향과 상쾌한 밀맥주,맥주
142,메를로,부드럽고 풍부한 맛의 와인,와인
143,카미키 위스키,복합적이고 스모키한 맛이 어우러진,위스키
144,잭 다니엘스,달콤하고 스모키한 맛의 테네시 위스키,위스키
145,아드모아 위스키,프루티하고 스파이시한 맛이 조화로운,위스키
146,조니 워커 레드 라벨,스모키하고 강렬한 맛의 위스키,위스키
147,베일리스,달콤한 크림과 위스키가 어우러진,리큐르
148,카이피리냐,라임과 설탕이 어우러진 상큼한,칵테일
149,코로나,라임과 잘 어울리는 청량한 맥주,맥주
150,피치크러시,상큼한 복숭아 맛이 특징인,칵테일
151,산토리 하이볼,상쾌한 탄산과 위스키의 조화,칵테일
152,블루 문,부드럽고 향긋한 밀맥주,맥주
153,템플턴 라이,스파이시하고 복합적인 맛의 라이 위스키,위스키
154,몽키 47 진,47가지 허브가 어우러진 복합적인,진
155,와일드 터키,강렬하고 스파이시한 맛의 버번 위스키,위스키
156,피터 렘버트,부드럽고 깊은 맛의 이탈리아 와인,와인
157,아모로소 셰리,달콤하고 진한 맛의 셰리,셰리
158,캄파리,상큼하고 쌉쌀한 맛의 이탈리아 리큐르,리큐르
159,피나 콜라다,달콤한 파인애플과 코코넛이 어우러진,칵테일
160,페르노,풍부한 아니스 향이 특징인,리큐르
